caption
"Angle, angle and more angle: The single best place to be in combat sports is directly behind your opponent. However, it’s very difficult to get behind someone with skills since they’ve been taught from the first day never to concede their back. So typically you’ll have to work with ANGLE - where you move away from frontal positions and off line to the side - it’s not as dramatic and decisive as the back, buts in most cases it’s more than enough to get good work done or at least create a reaction that’ll enable you to attack successfully. Make a habit of creating angle on opponents - it doesn’t always have to be a huge angular change, often even a small change in angle can create impressive results. As your opponent tries to re-align himself with you there will be a window of opportunity for you to enter. You’ll find that the game becomes a lot easier when you attack from angle rather than straight through the front door
"
"Whatever skill level you are today will be 70% a reflection of your training behavior over the previous five years and 30% a reflection of the previous three months. Failure to apply yourself well in either category can have serious ramifications for your performance here and now.
"
"Jiu Jitsu mindset: A question I am often asked is what are mental aspects of Jiu jitsu that play a role in the outcome of competition? It’s a fascinating and deep question that deserves a truly involved  discussion, nonetheless we can make a few preliminary points with regards a highly successful athlete whose mindset definitely plays a role in his competitive success - Gordon Ryan. First, let’s distinguish between two elements of the mental game. The first is TRAINING/LIFESTYLE mentality. The second is STAGE PERFORMANCE mentality. Most people only talk about the mental aspects of going onstage in competition. That’s certainly important, but the greatest determinant of the outcome of your matches over time by a landslide is your training/lifestyle mentality. This is the mindset you carry every day as you train and progress. This is what determines your skill acquisition over time. Mr Ryan always operates with the spirit of incremental improvement over time via discipline in training schedule, extreme attention to detail in technique, endless experimentation in response to emerging problems in training, refusal to get distracted by other demands on his attention and interestingly, a constant need to initiate and sustain light hearted conflict with opponents/rivals/“haters” as a means to sustain motivation levels over time throughout an exhausting training program. This need to prove haters wrong is a powerful motivational tool that he uses throughout the year to stay focused year round and sustain progress through multi year training cycles. With regards stage performance mentality, his most obvious feature is high levels of self confidence that enable him to perform on stage at a level very close to his gym performance level. Interestingly the focus of his confidence training is never himself, but his technique/tactics. He does not try to build confidence as an attribute in itself, but as a by product of technical training program and the success he has with it in the gym. This creates a strong link between the two main areas of the mental game - the training/lifestyle mindset and the stage mindset.
"
"The long way home: Back at Changi Airport in Singapore getting ready for the thirty hour journey home. Sorry to say Garry’s match did not go well last night. His opponent Tye Ruotolo secured a perfect Darce strangle early in the match and won via submission in outstanding fashion. Congratulations to both Ruotolo twins on outstanding debut performances in OneChampionship last night - they both showed very clearly they have arrived at the very highest levels of the sport. Congratulations also to @onechampionship for putting in another outstanding show. It was an honor to be among so many of the very grapplers and Muay Thai fighters last night. OneChampionship has been doing an incredible job of getting the best of the various martial arts disciplines under their banner and giving them an exciting framework to showcase their skills. As they say, your worth is not measured by whether you fall or not, but by how you respond to a fall. There have been some very very interesting matches signed back in the States - the good news is that I’ve got thirty uninterrupted hours to figure out how to get athletes ready for them 😜😂. Looking forward to getting back to Texas and back on the mats to help everyone get ready!
"
"When the action is is exhausting and your tired and confused - it will be be your acquired HABITS that bring you either victory or defeat. Training is all about building the right habits and eliminating the wrong ones. Pay heed to your daily training because right or wrong - that’s where your habits are formed
"
"The journey from beginner to expert - physical and psychological development: We all begin as white belts. Our common desire is to gain expertise. In physical terms it’s easy to identify what changes - it is skill. When we first begin we enter as klutzes who can bare shrimp across the mat, but by the time you’re a black belt you will spin effortlessly into a beautiful armbar from underneath a tough opponent without a second thought. But what about the psychological angle? What changes most from beginner to expert? Is it confidence? Do we become more confident? Not always. I know quite a few world champions who are nervous wreaks before competition or even before a hard training session. I know others who fervently believe they have inadequate skills despite winning world titles and having great renown as competitors. Is it knowledge? Not always. Some champions have vast amounts of knowledge, but others have a sparse number of moves and no interest in adding more and they are very successful at the highest levels. In my experience the single most dominant psychological trait among experts that emerged as they went from white belt to black is A CALM MIND THAT ENABLES THEM TO PROBLEM SOLVE UNDER STRESS. Almost every champion and Jiu jitsu expert I knew had this characteristic. As white belts we quickly become FRANTIC when sparring begins. Watch any beginners class and the dominant characteristic you’ll see is PANIC LEADING TO ERROR AND EXHAUSTION. when you watch the black belt class you will observe extreme examples calm under stress that enables students to get out of seemingly hopeless situations and recover. Learning to develop that essential MENTAL CALM is every bit as important as developing your physical skills. Indeed, i would go so far as to say that the physical skills will prove to be of rather limited value if they are not accompanied by a mental calm that judiciously guides their use. When training don’t just pay attention to the physical skills, pay attention to your state of mind.
"
"For every minute you spend on the mat in competition, you’ll spend an hour by yourself waiting in preparation in that last twenty four hours. Make sure your comfortable being alone and make sure whatever inner dialogue you have in that time is taking you in the right directions. You compete in front of a crowd, but you prepare largely alone - learning to be comfortable by yourself in a stressful and unfamiliar environment is a big part of success
"
"The enemy advances, we retreat. The enemy retreats, we pursue: In the ebb and flow of guard play, opponents will sometimes pressure forward and sometimes recede - it’s is crucial you be able to follow that movement to advantage. So often when opponents move back, we stop moving and wait for them to come back to us. This is a missed opportunity. When they disengage it is the perfect time to surge forward and actively come up from bottom position and take your opponent down. Don’t think that because you aren’t a wrestling specialist that this kind of tactic won’t work for you. It’s generally much easier to perform many forms of takedown under these circumstances because your opponents stance is usually compromised. Most Jiu jitsu players are very effective dealing with opponents driving forward into their guard - make sure you are equally effective when they pull away in the opposite direction
"
"Joint locks - don’t be in a hurry to extend the limb: There are two ways to submit an opponent in Jiu jitsu - strangles and joint locks. Overall I believe strangles are the more effective of the two but joint locks are still a truly vital part of the game. You must make a deep study of the skill of attacking the arms and legs of an opponent. Probably the single most common problem I see in developing students who have gotten into a position to joint lock an opponent is AN UNNECESSARY RUSH TO COMPLETION that sacrifices control and allows an opponent to escape. When it comes to joint locks CONTROL BEATS SPEED. There are exceptions to this. There are times when a fast entry and finish can get you a win before an opponent can get into a defensive reaction - but for every time you see this happen you will see twenty cases where too much concern with speed weakens your control and you end up with nothing. Focus on a tight connection to the joint above the joint that you are attacking. If you are attacking the knee - get a good connection to the hip. If your attacking the elbow, get a good connection to the shoulder. Don’t be afraid to move with your opponent to maintain that connection. When you feel the connection is strong and you can control your opponents movement - THEN go to attack the joint. Victory will go to the athlete who exhibits great control more often than the athlete who exhibits great speed.
"
"Increasing strength, endurance, tenacity and all the other attributes of your body and mind will lead to small performance increases that will increase your chance of success at the highest level; but be aware that whatever performance increases you get from improvement in that direction is minuscule compared with the performance increases of five, six, seven or eightfold that you can derive from increases in technical and tactical nuance. Your triangle for example, can be improved a little by making your legs stronger; but it can be improved massively (and immediately) by shifting your leg positioning by just a few inches - This is where the core of performance increases will always come from
"
"2022 IBJJF World Championships: I am having a blast here at the Gi World Championships at Long Beach California! The arena is packed with jiu jitsu stars and has a great enthusiastic audience! There have been some amazing matches already - some shocking upsets and surprises - and some dominant displays. It’s great to be back in California after so long away. Lots more action to come later today and tomorrow! Hope you are all enjoying the show!
"
"Finding your favorite moves: This game is built around the idea of knowing ENOUGH about MANY moves so that you can anticipate and defend them and knowing a LOT about a FEW moves so that you can beat anyone with them. Selecting those few moves is a deep personal journey that will last as long as you stay in the sport. Everyone has their own path. I’ve seen great champions take widely divergent routes to the top. These best advice I can give you is this. Individuality and self expression is great but don’t ignore the fact that certain moves outperform most others. Historically high percentage moves that have worked very well for generations across all skill levels and weight divisions should generally be preferred when assessing which moves will become your major weapons. Within the ranks of those high percentage moves there is sufficient variety to let you express your individuality. You can have a few unorthodox features in your game, that’s fine, but there is a reason why a subset of moves get most of the best results in jiu jitsu - let those moves be your main focus and express your individuality within those to make a great compromise between individual expression and high percentage technique
"
"For every person who believes you have the ability to get to your goals, there will be a thousand who doubt you - make sure you yourself don’t become one of those thousand - in a world of doubters stay true to your self belief
"
"Highly effective, but not universally effective: There are some moves in Jiu jitsu that are highly effective but not universally effective. What does this mean? It describes a move that works extremely well for those people whose body type supports the move, but doesn’t work at all for those people whose body does not support the move. A good example would a body triangle. If you are blessed with relatively long and thin legs and your opponent has a reasonably slim waist, a body triangle is extremely effective as a means of back control that is generally superior to basic hooks. Anyone can use it, should use it. However, a body triangle may well be impossible for students who have short, thick legs or an opponent with a large mid section. In these cases you can’t even get the move started. So what should we do? Should we focus on universality as the trait of our move selection? Or is it better to learn the most effective moves and just apply them cases by case where applicable? I do think there is a lot to be said for having a universal game, but I’m also a realist and understand that some moves (such a body triangle) are just so damn good that you’d be handicapping yourself if you didn’t use them when you could. Remember, moves don’t have to work for everyone in order to work for you.
"
"Running Georges and Gordon through their guard retention/counter offense drills: Remember this always - there are ten thousand possible skills from guard - all of them can be effective in their own way - BUT NONE OF THEM WILL BE EFFECTIVE IF YOU CANNOT EXHIBIT THE FIRST AND MOST IMPORTANT SKILL OF ALL GUARD PLAY - THE ABILITY TO HOLD/RETAIN GUARD LONG ENOUGH TO BE EFFECTIVE. Make retention your first skill in building your guard game and you will create a firm foundation upon which you can build the kind of devastating attacking guard game you see my students employ and which you can learn. Guard retention may not be the most exciting guard  skill to learn, but it’s the most important because it’s the one that all the other other skills of guard play depend upon.
"
